Auction House Name,Auction Title,Auction Date,Location
High Street Auction,26 March 2026 Live & Virtual Online Auction,2026-03-26,"Bryanston Country Club – 63 Bryanston Drive, Bryanston, Johannesburg | 12:00 pm"
High Street Auction,Fleet Live and Online Auction - 31 March 2026,2026-03-31,"11 Stott Street, Selby | 11:00 am"
Gobid,Runner & Non Runner Vehicle Auction,2026-03-21,National
Gobid,Runner & Non Runner Vehicle Auction,2026-03-23,National
Gobid,Runner & Non Runner Vehicle Auction,2026-03-23,National
Gobid,Runner & Non Runner Vehicle Auction,2026-03-24,National
Gobid,Runner & Non Runner Vehicle Auction,2026-03-24,GoBid West Rand
Gobid,Runner & Non Runner Vehicle Auction,2026-03-25,National
Gobid,Runner & Non Runner Vehicle Auction,2026-03-25,National
Gobid,Runner & Non Runner Vehicle Auction,2026-03-26,National
Gobid,Runner & Non Runner Vehicle Auction,2026-03-27,National
Gobid,Runner & Non Runner Vehicle Auction,2026-03-27,National
Gobid,Runner & Non Runner Vehicle Auction,2026-03-28,National
Gobid,Runner & Non Runner Vehicle Auction,2026-03-30,National
Gobid,Runner & Non Runner Vehicle Auction,2026-03-30,National
Gobid,Runner & Non Runner Vehicle Auction,2026-03-31,National
Gobid,Runner & Non Runner Vehicle Auction,2026-04-14,GoBid Pretoria
Gobid,Runner & Non Runner Vehicle Auction,2026-04-23,National
Claremart Auctions,COCT REDUNDANT VEHICLES & PLANT - 24-25.3.2026,2026-03-24,unconfirmed
Claremart Auctions,ONLINE MULTIPLE AUCTION 25 & 26 MARCH 2026,2026-03-25,unconfirmed
Claremart Auctions,WC GOVERNMENT MOTOR TRANSPORT 26.3-1.4.2026,2026-03-26,unconfirmed
Bidders Choice,"Property Auction: Online Auction: ± 347Ha Mixed Use Farm, Swellendam, Western Cape Province",2026-03-25,"Swellendam, Western Cape Province"
Bidders Choice,Movable Auction: Mining Sale - 062 : Close 26 March 2026,2026-03-26,unconfirmed
Bidders Choice,Property Auction: Online Power Of Attorney Auction: ± 18 867m² Industrial Property - Chamdor Krugersdorp,2026-03-26,Chamdor Krugersdorp
Bidders Choice,"Movable Auction: BSL & Bidders Choice: Roofing, Fleet & Electrical - Liquidation Auction: Close 31 March 2026",2026-03-31,unconfirmed
Bidders Choice,"Movable Auction: Cape Town Warehouse Auction : Industrial Equipment , Vehicles & Office Assets : Close 31 March 2026",2026-03-31,unconfirmed
Bidders Choice,"Property Auction: Power of Attorney Online Auction: 4-Bedroom Double Storey House - SS Monta 2070, Montana Park Ext. 40, Pretoria",2026-04-01,unconfirmed
Bidders Choice,Movable Auction: Curator Bonis Instruction: The Matter between the Commissioner for the South African Revenue Service and Shandi Trust (Case No: 6071/24P) : Close 09 April 2026,2026-04-09,unconfirmed
Bidders Choice,"Property Auction: Online Auction: Termination of Joint Ownerhship_± 5.1Ha Lifestyle Small Holding - Eenzaamheid, Western Cape",2026-04-07,"Eeenzaamheid, Western Cape"
Bidders Choice,Property Auction: Online Auction: ± 708Ha Farm With Mining Permit - Steelpoort Mpumalanga,2026-05-06,Steelpoort Mpumalanga
Auction Operation,FLEET & RENTAL VEHICLE AUCTION - CAPE TOWN,2026-03-24,unconfirmed
Auction Operation,ONLINE VEHICLE SALE - EVERY WEEKEND,2026-03-20,"Cnr Albertina Sisulu & Wilson Road, Roodepoort, Johannesburg"
Auction Operation,EVERY TUESDAY VEHICLE AUCTION!,2026-03-24,"Cnr Main Reef & Granville Road, Lea Glen (Robertville), Roodepoort, West Rand"
Auction Operation,NON-RUNNER & SALVAGE ONLINE VEHICLE AUCTION!,2026-03-24,"36 Main Reef Road, Langlaagte, Roodepoort"
Auction Operation,FLEET & RENTAL VEHICLE AUCTION - CAPE TOWN,2026-03-24,"239 Voortrekker Road, Parow, Cape Town"
Auction Operation,Midweek Online Auto Auction,2026-03-23,"13 Granville Ave, Robertville, Roodepoort."
Auction Operation,ONLINE VEHICLE SALE - EVERY WEEKEND,2026-03-27,"Cnr Albertina Sisulu & Wilson Road, Roodepoort, Johannesburg"
Auction Operation,"WAREHOUSE CLEARANCE AUCTION! Home, Hardware, Catering & Office Furniture -- Plus Much More!",2026-03-27,"35/36 Main Reef Road, Langlaagte, Johannesburg"
Auction Operation,EVERY TUESDAY VEHICLE AUCTION!,2026-03-31,"Cnr Main Reef & Granville Road, Lea Glen (Robertville), Roodepoort, West Rand"
Auction Operation,Midweek Online Auto Auction,2026-03-30,"13 Granville Ave, Robertville, Roodepoort."
Auction Operation,ONLINE VEHICLE SALE - EVERY WEEKEND,2026-04-03,"Cnr Albertina Sisulu & Wilson Road, Roodepoort, Johannesburg"
Auction Operation,EVERY TUESDAY VEHICLE AUCTION!,2026-04-07,"Cnr Main Reef & Granville Road, Lea Glen (Robertville), Roodepoort, West Rand"
